Replicate_ID,Block_ID,Tube,Mu,ExactMu,Sigma,Gamma,Density0,Density,Extinction
1,W1,1,25.0093,25,3.28967,0,68,0,0
2,W1,2,25.0093,25,3.28967,0,96,644,1
3,W1,3,25.0093,25,3.28967,0,64,148,1
4,W1,4,25.0093,25,3.28967,0,120,52,1
5,W1,5,25.0093,25,3.28967,0,40,40,1
6,W1,6,25.0093,25,3.28967,0,40,0,0
7,W1,7,25.0093,25,3.28967,0,60,52,1
8,W1,8,25.0093,25,3.28967,0,72,468,1
9,W1,9,25.0093,25,3.28967,0,20,4,1
10,W1,10,25.0093,25,3.28967,0,96,1032,1
11,W1,11,25.0093,25,3.28967,0,108,152,1
12,W1,12,25.0093,25,3.28967,0,72,84,1
13,W2,1,26.9852,27,3.3502,0,56,0,0
14,W2,2,26.9852,27,3.3502,0,20,88,1
15,W2,3,26.9852,27,3.3502,0,132,104,1
16,W2,4,26.9852,27,3.3502,0,40,0,0
17,W2,5,26.9852,27,3.3502,0,24,0,0
18,W2,6,26.9852,27,3.3502,0,32,0,0
19,W2,7,26.9852,27,3.3502,0,60,68,1
20,W2,8,26.9852,27,3.3502,0,80,0,0
21,W2,9,26.9852,27,3.3502,0,116,16,1
22,W2,10,26.9852,27,3.3502,0,76,96,1
23,W2,11,26.9852,27,3.3502,0,52,0,0
24,W2,12,26.9852,27,3.3502,0,56,196,1
25,W3,1,28.0213,28,3.30965,0,64,0,0
26,W3,2,28.0213,28,3.30965,0,84,44,1
27,W3,3,28.0213,28,3.30965,0,24,0,0
28,W3,4,28.0213,28,3.30965,0,32,84,1
29,W3,5,28.0213,28,3.30965,0,52,24,1
30,W3,6,28.0213,28,3.30965,0,136,0,0
31,W3,7,28.0213,28,3.30965,0,48,44,1
32,W3,8,28.0213,28,3.30965,0,52,12,1
33,W3,9,28.0213,28,3.30965,0,72,0,0
34,W3,10,28.0213,28,3.30965,0,36,0,0
35,W3,11,28.0213,28,3.30965,0,28,0,0
36,W3,12,28.0213,28,3.30965,0,88,0,0
37,W4,1,28.9891,29,3.3356,0,76,0,0
38,W4,2,28.9891,29,3.3356,0,48,0,0
39,W4,3,28.9891,29,3.3356,0,44,0,0
40,W4,4,28.9891,29,3.3356,0,92,0,0
41,W4,5,28.9891,29,3.3356,0,44,0,0
42,W4,6,28.9891,29,3.3356,0,20,60,1
43,W4,7,28.9891,29,3.3356,0,76,0,0
44,W4,8,28.9891,29,3.3356,0,40,0,0
45,W4,9,28.9891,29,3.3356,0,28,0,0
46,W4,10,28.9891,29,3.3356,0,132,0,0
47,W4,11,28.9891,29,3.3356,0,60,12,1
48,W4,12,28.9891,29,3.3356,0,28,0,0
49,W5,1,30.0071,30,3.25587,0,72,0,0
50,W5,2,30.0071,30,3.25587,0,112,0,0
